Source,q,A,t_0,L
BA_estado,0.7816669021716431,3.0068776666116,4.55161830608327,0.3436831705456124
BA_capital,0.6741141944962991,3.019286748045739,0.5463828635021661,0.416796270220545
BA_interior,0.8650030768955195,2.894241929167098,5.041841734583401,0.20894833305104576
RO_estado,0.9840856866001294,3.3778214006811247,5.258630080091714,0.15584070352009244
RO_capital,0.907595198173316,1.8957160127461288,3.267840062103146,0.18735826885266102
RO_interior,1.1118738432564135,1.3924803419067788,9.542726075134047,0.14603533097977034
SE_estado,1.0824938495338527,5.228792781440427,5.820133871828814,0.08956004701853881
SE_capital,1.147488501137841,5.590318434546361,6.655651075279381,0.07354995767984294
SE_interior,1.2219310818403093,2.65469449718931,9.98437394754376,0.08038073224567845
